Country_Code,Country_Name,Year,Actual_GHG,Regression_Prediction,NN_Prediction,ARIMA_Prediction,ARIMAX_Prediction,ARIMAX_DUMMY_Prediction,Regression_Abs_Error,NN_Abs_Error,ARIMA_Abs_Error,ARIMAX_Abs_Error,ARIMAX_DUMMY_Abs_Error,Winner
BRN,Brunei,1990,22.921203954687183,20.721467646317347,20.44291356441392,21.966911764705884,21.4799621769796,22.057609234754825,2.199736308369836,2.478290390273262,0.9542921899812988,1.4412417777075817,0.8635947199323581,ARIMAX_DUMMY
BRN,Brunei,1991,24.27150451644351,20.341668598868043,20.447445593408894,22.921203954687183,22.865183708471385,22.818438131086893,3.929835917575467,3.8240589230346167,1.3503005617563275,1.4063208079721257,1.4530663853566175,ARIMA
BRN,Brunei,1992,24.411593579875408,26.55643675598079,22.800693615205738,24.27150451644351,24.47579748251978,24.10999025791079,2.1448431761053826,1.6108999646696702,0.14008906343189764,0.06420390264437259,0.3016033219646168,ARIMAX
BRN,Brunei,1993,24.93510150882222,26.400446035963185,27.263872514209954,24.411593579875408,24.274846564553755,24.379414153176462,1.4653445271409637,2.3287710053877326,0.5235079289468132,0.6602549442684662,0.5556873556457589,ARIMA
BRN,Brunei,1994,24.777976071047657,25.90673590170104,26.421412407344828,24.93510150882222,25.12126179151667,24.875894573325258,1.128759830653383,1.643436336297171,0.1571254377745639,0.3432857204690123,0.0979185022776008,ARIMAX_DUMMY
BRN,Brunei,1995,25.152904411133434,25.51087738546877,29.833439770319373,24.777976071047657,24.445953964837983,24.78843756432394,0.35797297433533615,4.680535359185939,0.374928340085777,0.7069504462954512,0.3644668468094956,Regression
BRN,Brunei,1996,25.79121350695329,25.732279855416174,22.480689510953873,25.152904411133434,25.041332623357903,25.113836987769496,0.05893365153711727,3.310523995999418,0.6383090958198565,0.7498808835953881,0.6773765191837953,Regression
BRN,Brunei,1997,26.862098440759677,25.717592843699922,25.030492228151488,25.79121350695329,26.028908796852956,25.719790833953628,1.144505597059755,1.8316062126081896,1.0708849338063864,0.8331896439067208,1.1423076068060496,ARIMAX
BRN,Brunei,1998,24.55463610608704,26.044906286678682,25.766057470356643,26.862098440759677,27.19073925997848,26.748209665083646,1.49027018059164,1.2114213642696008,2.3074623346726355,2.636103153891437,2.1935735589966043,NeuralNetwork
BRN,Brunei,1999,25.5291771416764,25.18182645724495,24.195827529204966,24.55463610608704,24.090944419897653,24.810898283078192,0.3473506844314507,1.3333496124714337,0.9745410355893576,1.4382327217787463,0.7182788585982074,Regression
BRN,Brunei,2000,25.99747567580815,25.54671482439911,25.39693686527641,25.5291771416764,25.57458050054936,25.44009937612289,0.45076085140904,0.6005388105317415,0.46829853413175115,0.42289517525879106,0.5573762996852594,ARIMAX
BRN,Brunei,2001,26.18848340308089,25.79121678118753,23.05145996255529,25.99747567580815,26.029050920326338,25.927474267417328,0.3972666218933618,3.137023440525603,0.19100772727274062,0.15943248275455346,0.26100913566356354,ARIMAX
