Country_Code,Country_Name,Num_Predictors,Latest_Year,Latest_GHG_Per_Capita,GHG_2030_Forecast,Change_2030,Pct_Change_2030,CV_RMSE,CV_R2,Full_R2,Model_RMSE
BRN,Brunei,6,2024,25.642881995846317,28.358304895537323,2.7154228996910064,10.58938266038449,2.83027471014593,-0.18925475937201963,0.32981202928362663,2.396121108876736
MYS,Malaysia,2,2024,9.34163492644752,24.391043105371764,15.049408178924244,161.10036730633942,0.8807147038925436,0.8433440981720176,0.8902874815758489,0.7916105439321607
SGP,Singapore,9,2024,12.604698469071668,17.18345219435981,4.578753725288141,36.3257696050651,1.181197131288751,0.7662125980658377,0.902811366617873,0.9287264356418553
LAO,Laos,3,2024,5.347563437449444,10.586098323026512,5.238534885577068,97.96115458661342,0.5366454266960587,0.7127043938502006,0.8268062987322151,0.4995564642729557
THA,Thailand,9,2024,5.893665724865729,8.619633283582179,2.72596755871645,46.2524969343855,0.1667534336789081,0.9818447029575559,0.9928021801673467,0.11567106591897168
IDN,Indonesia,10,2024,4.669609373952502,7.741937523103293,3.072328149150791,65.79411473448961,0.09264521160306369,0.9864994471372169,0.9951110931246244,0.06327664482921587
VNM,Vietnam,2,2024,5.785434077576547,5.977872422507618,0.19243834493107048,3.326255944682386,1.3536505418858007,-0.3992877791779,0.432391256423183,0.9589457552187054
PHL,Philippines,3,2024,2.3013540575846743,3.4928249903408295,1.1914709327561552,51.77260442952581,0.07480286164383951,0.8182533182071422,0.8880472676363049,0.07113189935269264
KHM,Cambodia,6,2024,2.825294077528285,3.105450763048769,0.2801566855204838,9.916018574801937,0.3556788801439592,0.3176693480949896,0.4612082436449314,0.3321629033926139
MMR,Myanmar,10,2024,2.1612349234426045,1.5446664156449135,-0.616568507797691,-28.528527885139233,0.10737839247956878,0.8473646246640414,0.8983875966853774,0.0897859350307759
TLS,Timor-Leste,3,2024,1.3851544796014388,1.269837181613526,-0.11531729798791268,-8.325230123147984,0.482807579031263,0.10530690644632443,0.282707981946711,0.44928519528406685
