Country_Code,Country_Name,Year,Actual_GHG,Predicted_GHG,Residual,Abs_Residual,Pct_Error
BRN,Brunei,1970,20.08465420533085,21.774387108290604,-1.6897329029597543,1.6897329029597543,-8.413054492674647
BRN,Brunei,1971,18.554099810761237,21.79049414323921,-3.2363943324779747,3.2363943324779747,-17.443014565443324
BRN,Brunei,1972,22.02631708500657,21.837814079550746,0.188503005455825,0.188503005455825,0.8558080986863663
BRN,Brunei,1973,26.805501835528503,21.92650583323485,4.878996002293654,4.878996002293654,18.201472340379553
BRN,Brunei,1974,26.94620584844356,26.796940456863215,0.14926539158034657,0.14926539158034657,0.5539384372697067
BRN,Brunei,1975,26.98045169861454,26.82435262816757,0.15609907044697025,0.15609907044697025,0.5785635918578265
BRN,Brunei,1976,30.71628964530857,26.965873051548733,3.7504165937598373,3.7504165937598373,12.209862053871648
BRN,Brunei,1977,30.750781263845653,27.026203879142578,3.7245773847030748,3.7245773847030748,12.112139046958587
BRN,Brunei,1978,30.410443493973144,26.96927572892976,3.441167765043385,3.441167765043385,11.315743440983914
BRN,Brunei,1979,28.38456507521256,27.577393369901223,0.8071717053113368,0.8071717053113368,2.8436993949793403
BRN,Brunei,1980,32.21625803955704,29.120586618625634,3.0956714209314065,3.0956714209314065,9.609034721321006
BRN,Brunei,1981,25.75412679643916,28.31681428347546,-2.5626874870362997,2.5626874870362997,-9.950589694971232
BRN,Brunei,1982,26.70047687533116,27.924263778565255,-1.223786903234096,1.223786903234096,-4.58338968606499
BRN,Brunei,1983,27.743832451731706,27.6715127603366,0.07231969139510497,0.07231969139510497,0.26066943534540754
BRN,Brunei,1984,25.979750638993483,29.191974971263996,-3.2122243322705124,3.2122243322705124,-12.364338583947863
BRN,Brunei,1985,24.49307734824296,28.635846250680014,-4.142768902437055,4.142768902437055,-16.914040010306184
BRN,Brunei,1986,22.74310691185236,25.19159218466013,-2.448485272807769,2.448485272807769,-10.76583459901762
BRN,Brunei,1987,22.16625331394852,25.6812935151141,-3.5150402011655792,3.5150402011655792,-15.85761992061002
BRN,Brunei,1988,22.81985613063637,24.755874012207098,-1.9360178815707272,1.9360178815707272,-8.483917998814912
BRN,Brunei,1989,21.966911764705884,26.0510339476752,-4.084122182969317,4.084122182969317,-18.59215454004442
BRN,Brunei,1990,22.921203954687183,25.155427682696068,-2.2342237280088852,2.2342237280088852,-9.74741000702106
BRN,Brunei,1991,24.27150451644351,24.94504467243549,-0.6735401559919794,0.6735401559919794,-2.7750243316629506
BRN,Brunei,1992,24.411593579875408,24.8120283541007,-0.4004347742252925,0.4004347742252925,-1.6403467185174079
BRN,Brunei,1993,24.93510150882222,24.731275126418954,0.20382638240326756,0.20382638240326756,0.8174275221263979
BRN,Brunei,1994,24.777976071047657,24.332160635541097,0.4458154355065602,0.4458154355065602,1.7992407217935873
BRN,Brunei,1995,25.152904411133434,24.621320169983292,0.5315842411501421,0.5315842411501421,2.1134109702052815
BRN,Brunei,1996,25.79121350695329,24.49034030915267,1.3008731978006196,1.3008731978006196,5.043861923945165
BRN,Brunei,1997,26.862098440759677,24.910906945580624,1.951191495179053,1.951191495179053,7.263734437881361
BRN,Brunei,1998,24.55463610608704,24.29378284951826,0.2608532565687831,0.2608532565687831,1.0623381077275185
