Country_Code,Country_Name,Forecast_Year,GHG_Per_Capita
BRN,Brunei,2025,26.19192209044574
BRN,Brunei,2026,26.557042513286078
BRN,Brunei,2027,26.953707363924526
BRN,Brunei,2028,27.384359539115746
BRN,Brunei,2029,27.851620886514493
BRN,Brunei,2030,28.358304895537323
KHM,Cambodia,2025,2.747969261580991
KHM,Cambodia,2026,2.8016361361673168
KHM,Cambodia,2027,2.8627666403542316
KHM,Cambodia,2028,2.9327013163328655
KHM,Cambodia,2029,3.0129954307519444
KHM,Cambodia,2030,3.105450763048769
IDN,Indonesia,2025,4.973296055078108
IDN,Indonesia,2026,5.365966454356993
IDN,Indonesia,2027,5.8193116427350375
IDN,Indonesia,2028,6.349650821965369
IDN,Indonesia,2029,6.979779145642865
IDN,Indonesia,2030,7.741937523103293
LAO,Laos,2025,6.215056439217179
LAO,Laos,2026,6.846640866176196
LAO,Laos,2027,7.580059434281292
LAO,Laos,2028,8.433146028483366
LAO,Laos,2029,9.426909070867508
LAO,Laos,2030,10.586098323026512
MYS,Malaysia,2025,12.473936815676506
MYS,Malaysia,2026,14.226203632997581
MYS,Malaysia,2027,16.252268542454075
MYS,Malaysia,2028,18.591173525688
MYS,Malaysia,2029,21.287292466586457
MYS,Malaysia,2030,24.391043105371764
MMR,Myanmar,2025,2.066074591715167
MMR,Myanmar,2026,1.9756691495318477
MMR,Myanmar,2027,1.8781418666520078
MMR,Myanmar,2028,1.7738752683946255
MMR,Myanmar,2029,1.6628227708738494
MMR,Myanmar,2030,1.5446664156449135
PHL,Philippines,2025,2.4261545826637034
PHL,Philippines,2026,2.584506497647073
PHL,Philippines,2027,2.7667456031370357
PHL,Philippines,2028,2.9762417585855765
PHL,Philippines,2029,3.2168208880477254
PHL,Philippines,2030,3.4928249903408295
SGP,Singapore,2025,13.08499726841739
SGP,Singapore,2026,13.728593276437051
SGP,Singapore,2027,14.452016147335643
SGP,Singapore,2028,15.263328114779826
SGP,Singapore,2029,16.170929792390353
SGP,Singapore,2030,17.18345219435981
THA,Thailand,2025,6.305634706341063
THA,Thailand,2026,6.621396307840319
THA,Thailand,2027,7.000073317779616
THA,Thailand,2028,7.451527591060976
THA,Thailand,2029,7.987063087600136
THA,Thailand,2030,8.619633283582179
TLS,Timor-Leste,2025,1.1844904414283628
TLS,Timor-Leste,2026,1.1859138161967326
TLS,Timor-Leste,2027,1.1932892474394636
TLS,Timor-Leste,2028,1.2082389701951313
TLS,Timor-Leste,2029,1.2328556680419036
TLS,Timor-Leste,2030,1.269837181613526
VNM,Vietnam,2025,4.5767024885649725
VNM,Vietnam,2026,4.793636078292991
VNM,Vietnam,2027,5.042734353624851
VNM,Vietnam,2028,5.323096803677663
VNM,Vietnam,2029,5.6346251032923576
VNM,Vietnam,2030,5.977872422507618
