indicator,corr,n
"Industry (including construction), value added (% of GDP)",0.3264967261473419,10189
Electricity production from natural gas sources (% of total),0.32637763324699987,7645
"Literacy rate, adult total (% of people ages 15 and above)",0.32589853631258486,2811
"Persistence to last grade of primary, total (% of cohort)",0.3257541623592213,6378
Researchers in R&D (per million people),0.3212114517427191,2432
Fuel exports (% of merchandise exports),0.31764256748147385,8636
"Out-of-pocket expenditure per capita, PPP (current international $)",0.31740069770510265,5564
"Depositors with commercial banks (per 1,000 adults)",0.31652086052244416,2062
"Contraceptive prevalence, any method (% of married women ages 15-49)",0.31585422308689504,1324
External balance on goods and services (% of GDP),0.31398981831410494,10096
Access to electricity (% of population),0.3133851912567677,7431
Cereal yield (kg per hectare),0.3112506672188009,11537
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.310930259465288,2040
Current health expenditure per capita (current US$),0.3088104630782667,5562
"Railways, goods transported (million ton-km)",0.3081529906816518,2660
Domestic general government health expenditure per capita (current US$),0.3075918423217538,5545
Technicians in R&D (per million people),0.3027686033742507,1284
"Borrowers from commercial banks (per 1,000 adults)",0.2998900416372583,2119
Fixed telephone subscriptions (per 100 people),0.2987972677414272,12763
"Prevalence of overweight, weight for height (% of children under 5)",0.29628417875158214,1020
"Domestic private health expenditure per capita, PPP (current international $)",0.29470103300380657,5547
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),0.28894628089238056,1732
Income share held by lowest 20%,0.2888178436103509,2351
Out-of-pocket expenditure per capita (current US$),0.2870882883313942,5562
Births attended by skilled health staff (% of total),0.2847581930802846,3101
"Commercial bank branches (per 100,000 adults)",0.28214010610385815,4284
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0.2817037901220569,2355
Research and development expenditure (% of GDP),0.2810928825911592,3148
Total natural resources rents (% of GDP),0.2792918911660531,11380
"GNI per capita, Atlas method (current US$)",0.278297310203921,11710
"Prevalence of overweight (modeled estimate, % of children under 5)",0.27771420965808125,5125
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",0.27763234075131893,8378
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),0.2774699402303772,523
"Physicians (per 1,000 people)",0.2771631597109555,5027
Trained teachers in primary education (% of total teachers),0.2760585826393004,2710
Progression to secondary school (%),0.26549870180366136,5042
